symbol,timeframe,strategy,params,total_return,win_rate,sharpe_ratio,profit_factor,num_trades,robust,oos_profitable_windows,total_windows
BTCUSD,M15,MeanReversion,"window=20,z=2.5",0.011113867374058173,0.569620253164557,0.06044968419294716,1.0612519670710354,157,True,4,5
BTCUSD,M15,TrendFollowing,"fast=8,slow=21",0.009612661454352245,0.4911929543634908,0.01338659195774007,1.00261094107162,4999,True,4,5
EURUSD,H1,MeanReversion,"window=20,z=1.5",0.03560494355953692,0.5214233841684822,0.19874731410093394,1.074355356219057,1384,True,5,5
EURUSD,H1,MeanReversion,"window=50,z=1.5",-0.00598804164323663,0.5313159746657283,-0.034219587630285354,0.9880220900212439,1432,True,5,5
EURUSD,H1,MeanReversion,"window=20,z=1.75",-0.00812970888943687,0.5119825708061002,-0.05722591282353961,0.9758295900820357,923,True,5,5
EURUSD,H1,MeanReversion,"window=50,z=1.75",0.001784760707323363,0.531416400425985,0.012053614377081696,1.005123757198324,945,True,4,5
EURUSD,H1,MeanReversion,"window=100,z=1.75",-0.00813803173962746,0.5194805194805194,-0.05293194716884488,0.9785915811875946,1086,True,4,5
EURUSD,H1,MeanReversion,"window=20,z=2.0",-0.0028323767771321062,0.5156537753222836,-0.02613797911308531,0.9861855184853064,546,True,4,5
EURUSD,H1,MeanReversion,"window=50,z=2.0",-0.002559822865256245,0.5256410256410257,-0.021081204536143816,0.9890581154398697,625,True,5,5
EURUSD,H1,MeanReversion,"window=20,z=2.25",0.016359677330003652,0.5434083601286174,0.2028028332379314,1.1454552671413656,312,True,4,5
EURUSD,H1,MeanReversion,"window=50,z=2.25",-0.006957701819614637,0.5209424083769634,-0.06899934440251672,0.9566906374142892,382,True,4,5
EURUSD,H1,MeanReversion,"window=100,z=2.25",-0.036252922191647996,0.5150115473441108,-0.31295058265249026,0.8135932845131533,434,True,5,5
EURUSD,H1,MeanReversion,"window=20,z=2.5",-0.0009918669767410293,0.5478723404255319,-0.015991158430410744,0.9866793956061716,187,True,4,5
EURUSD,H1,MeanReversion,"window=50,z=2.5",0.002875745411822006,0.5191489361702127,0.03656536972186074,1.0302544455176532,235,True,4,5
EURUSD,H1,MeanReversion,"window=100,z=2.5",-0.029703330777096082,0.5112781954887218,-0.3023732631961932,0.7811796180824808,267,True,5,5
EURUSD,H1,MeanReversion,"window=20,z=2.75",-0.0005817341218807837,0.5,-0.012295347196703478,0.9855012699205589,91,True,4,5
EURUSD,H4,MeanReversion,"window=100,z=2.0",0.027439820522367375,0.5393419170243204,0.11781811547018267,1.0621747674136148,699,True,4,5
EURUSD,H4,TrendFollowing,"fast=8,slow=21",-0.06263152723136234,0.49146757679180886,-0.10336196087452494,0.980954988736025,4999,True,4,5
EURUSD,H4,TrendFollowing,"fast=10,slow=30",-0.06565227694085396,0.4940774944790203,-0.10834738658958512,0.980045602929685,4999,True,4,5
EURUSD,M15,MeanReversion,"window=20,z=1.5",0.02593835086052032,0.5371050698016164,0.45860807352211747,1.1662849384252705,1383,True,4,5
EURUSD,M15,MeanReversion,"window=50,z=1.5",0.02504850772700673,0.5212912087912088,0.4245074065140862,1.1474844807183373,1476,True,4,5
EURUSD,M15,MeanReversion,"window=50,z=1.75",0.031367120563452366,0.5376128385155466,0.6142152690486532,1.2786928886219306,1010,True,5,5
EURUSD,M15,MeanReversion,"window=20,z=2.0",0.01372724419682314,0.5483271375464684,0.350522955872087,1.2172192264460988,546,True,4,5
EURUSD,M15,MeanReversion,"window=50,z=2.0",0.017757051113824196,0.5351437699680511,0.41844211968452605,1.2340546202658227,634,True,4,5
EURUSD,M15,MeanReversion,"window=50,z=2.25",0.010113407671600405,0.5471698113207547,0.2834030878100298,1.2015154874410836,372,True,5,5
EURUSD,M15,MeanReversion,"window=50,z=2.5",0.011009561864401163,0.5747663551401869,0.3598231177236225,1.3667062432642036,214,True,4,5
EURUSD,M15,MeanReversion,"window=100,z=2.75",0.0028223906117962327,0.5422535211267606,0.11170294535098386,1.124154044121178,141,True,4,5
GBPUSD,H1,MeanReversion,"window=20,z=1.5",0.020146133263632682,0.517120894479385,0.12075891498645488,1.041483430900881,1435,True,4,5
GBPUSD,H1,MeanReversion,"window=100,z=1.5",-0.029959263170647232,0.5014784151389711,-0.17224208576122557,0.9475618834448432,1693,True,4,5
GBPUSD,H1,MeanReversion,"window=20,z=1.75",0.033725088315663676,0.5229645093945721,0.23166259939770462,1.100273527536607,961,True,4,5
GBPUSD,H1,MeanReversion,"window=100,z=1.75",0.006331621704401047,0.523645743766122,0.042490550550478276,1.0164213974880931,1164,True,4,5
GBPUSD,H1,MeanReversion,"window=20,z=2.0",0.003643806903301683,0.5060449050086355,0.03270304026706936,1.0170283276615881,581,True,4,5
GBPUSD,H1,MeanReversion,"window=50,z=2.0",0.009235111164109355,0.5311004784688995,0.07913015515528714,1.039627629121441,627,True,4,5
GBPUSD,H1,MeanReversion,"window=20,z=2.75",0.0012691391037550348,0.5376344086021505,0.025626449559844083,1.0310999527883529,92,True,4,5
GBPUSD,H1,MeanReversion,"window=50,z=3.25",0.0014205053275588853,0.5517241379310345,0.041056384786999384,1.0632190318239563,57,True,4,5
GBPUSD,H4,MeanReversion,"window=20,z=1.5",0.14304616403508974,0.5389563974267334,0.426874789079987,1.1581447166465721,1406,True,4,5
GBPUSD,H4,MeanReversion,"window=50,z=1.5",0.12188266689645433,0.519715578539108,0.33668221915556573,1.1168763971713354,1552,True,4,5
GBPUSD,H4,MeanReversion,"window=50,z=1.75",0.15568800676640582,0.5345971563981042,0.5333906594056036,1.235063214511115,1058,True,4,5
