symbol,signals,wins,losses,win_rate,net_pips,expectancy
Intuit,99,40,59,40.4040404040404,1496771.428571437,15118.903318903403
EverestRe,76,34,42,44.73684210526316,1102185.714285714,14502.443609022554
UK100Cash,101,37,64,36.633663366336634,1429899.9999999152,14157.425742573418
Facebook,94,36,58,38.297872340425535,1210714.2857142917,12879.939209726508
HCA,115,49,66,42.608695652173914,1454028.57142857,12643.726708074522
DiscoverFinancial,96,45,51,46.875,1210357.1428571413,12607.886904761888
Roche,103,52,51,50.48543689320388,1290857.1428571434,12532.593619972266
ASMLHolding,118,43,75,36.440677966101696,1449785.714285714,12286.319612590798
GoldmSachs,90,32,58,35.55555555555556,1075257.1428571432,11947.30158730159
GER40Cash,104,38,66,36.53846153846153,1241657.1428573835,11939.010989013303
LVMH,103,42,61,40.77669902912621,1227385.7142857139,11916.366158113728
IQVIA,79,37,42,46.835443037974684,936528.57142857,11854.79204339962
IntuitiveSurgical,89,36,53,40.44943820224719,1007142.8571428551,11316.211878009608
AirProductsAndChemicals,94,41,53,43.61702127659575,1017200.0000000029,10821.276595744712
AllianzAG,88,43,45,48.86363636363637,950514.2857142868,10801.298701298714
ElectricVehicles,95,35,60,36.84210526315789,1012514.2857142865,10658.045112781963
YaraInternational,105,47,58,44.761904761904766,1104965.714285713,10523.482993197265
CheckPoint,94,42,52,44.680851063829785,976757.1428571435,10391.033434650462
Microsoft,95,40,55,42.10526315789473,977785.7142857108,10292.481203007483
WWGrainger,87,36,51,41.37931034482759,888571.4285714264,10213.464696223293
Northrop,96,41,55,42.70833333333333,960585.7142857097,10006.101190476142
RoyalCaribbeanCruises,76,31,45,40.78947368421053,744014.2857142846,9789.661654135323
L3Harris,96,41,55,42.70833333333333,926128.5714285697,9647.172619047602
Ferrari,94,37,57,39.361702127659576,903219.9999999986,9608.723404255305
Horton,89,40,49,44.9438202247191,834157.1428571434,9372.552166934196
Broadcom,96,36,60,37.5,872999.9999999984,9093.749999999984
LockheedMartin,101,40,61,39.603960396039604,876899.9999999976,8682.178217821758
Stryker,78,30,48,38.46153846153847,634685.7142857149,8136.996336996345
Heidelbergcement,91,39,52,42.857142857142854,740028.5714285704,8132.182103610664
Welltower,87,41,46,47.12643678160919,666400.0,7659.770114942528
Loomis,86,35,51,40.69767441860465,647500.0000000034,7529.0697674419
Nabors,92,45,47,48.91304347826087,649642.8571428575,7061.335403726712
SchneiderElectric,95,39,56,41.05263157894737,654642.8571428569,6890.97744360902
Allegion,82,39,43,47.5609756097561,550585.7142857144,6714.459930313591
AbercFitch,88,36,52,40.909090909090914,588485.7142857142,6687.337662337662
AlignTechnology,82,35,47,42.68292682926829,546071.4285714285,6659.407665505226
Jefferies,86,41,45,47.674418604651166,565828.5714285707,6579.401993355473
KKR&Co,89,38,51,42.69662921348314,570785.7142857154,6413.3226324237685
Take-Two,93,38,55,40.86021505376344,573957.1428571433,6171.582181259605
AssaAbloy,81,34,47,41.9753086419753,493500.0000000007,6092.592592592601
Aurubis,99,45,54,45.45454545454545,601999.9999999997,6080.808080808078
Apple_turbo,82,35,47,42.68292682926829,496814.2857142857,6058.710801393728
ChristianDior,96,38,58,39.58333333333333,580878.5714285703,6050.8184523809405
Baidu,92,41,51,44.565217391304344,552500.0000000003,6005.4347826087
US30Cash,94,35,59,37.234042553191486,548842.857143048,5838.753799394127
AresManagement,96,38,58,39.58333333333333,556257.1428571441,5794.345238095251
Verisign,98,41,57,41.83673469387755,565671.42857143,5772.1574344023475
Tenet,91,38,53,41.75824175824176,521842.85714285733,5734.536891679751
Sonova,87,36,51,41.37931034482759,496628.57142857136,5708.374384236452
BerkshireHathaway,93,36,57,38.70967741935484,525642.8571428575,5652.073732718898
Resmed,91,37,54,40.65934065934066,508442.85714285634,5587.2841444269925
CincinnatiFinancial,85,36,49,42.35294117647059,467314.2857142866,5497.815126050431
Hess,90,40,50,44.44444444444444,486942.8571428561,5410.476190476179
Adidas,113,46,67,40.707964601769916,593557.142857143,5252.718078381796
PulteGroup,83,35,48,42.168674698795186,433042.85714285617,5217.383820998267
PhilipMorri,83,33,50,39.75903614457831,421671.4285714284,5080.378657487089
TrumpWinners,92,33,59,35.869565217391305,461714.28571428906,5018.633540372707
Mohawk,99,40,59,40.4040404040404,485214.2857142855,4901.154401154399
WheatonPreciousMetals,110,45,65,40.909090909090914,538028.5714285721,4891.168831168837
Incyte,99,44,55,44.44444444444444,477757.14285714267,4825.829725829724
Charter,79,31,48,39.24050632911392,380171.42857142584,4812.296564195264
Gaztransport&Technigaz,92,37,55,40.21739130434783,433928.57142857113,4716.614906832295
Whirlpool,88,38,50,43.18181818181818,412628.57142857177,4688.9610389610425
Yandex,91,41,50,45.05494505494506,425242.85714285664,4672.9984301412815
WalMart,84,42,42,50.0,391771.42857142887,4663.945578231296
Adidas_turbo,111,44,67,39.63963963963964,501471.4285714287,4517.7606177606185
Taiwan-Semiconductor,86,33,53,38.372093023255815,388357.14285714255,4515.780730897007
PaloAltoNetworks,90,33,57,36.666666666666664,405657.1428571434,4507.301587301594
CBRE,94,40,54,42.5531914893617,423471.42857142846,4505.0151975683875
Pinduoduo,99,43,56,43.43434343434344,442528.5714285705,4469.985569985561
Dover,98,40,58,40.816326530612244,423157.14285714156,4317.930029154506
Danaher,95,38,57,40.0,407514.28571428434,4289.624060150361
Zoetis,104,42,62,40.38461538461539,433585.71428571135,4169.093406593378
Blackstone,101,40,61,39.603960396039604,418971.4285714276,4148.231966053739
Regeneron,100,33,67,33.0,414057.14285714633,4140.571428571463
Visa,84,34,50,40.476190476190474,346614.28571428574,4126.360544217688
UnitedHealth,104,39,65,37.5,426400.0000000002,4100.000000000002
ExtraSpace,93,40,53,43.01075268817204,380799.9999999994,4094.623655913972
Franco-Nevada,89,36,53,40.44943820224719,364228.57142857066,4092.455858747985
PublicStorage,93,35,58,37.634408602150536,380157.1428571441,4087.7112135176785
Merck&Co,83,36,47,43.373493975903614,337385.71428571414,4064.888123924267
Clorox,92,39,53,42.391304347826086,367042.8571428569,3989.596273291923
Waste,88,35,53,39.77272727272727,344757.1428571432,3917.694805194809
SherwinWilliams,103,37,66,35.92233009708738,401742.8571428635,3900.416088765665
Volvo,87,35,52,40.229885057471265,339185.71428571234,3898.686371100142
Getinge,85,36,49,42.35294117647059,326428.57142857154,3840.336134453783
Motorola,81,32,49,39.50617283950617,306671.42857142794,3786.067019400345
Datadog,92,34,58,36.95652173913043,348314.2857142851,3786.0248447204904
Gartner,77,30,47,38.961038961038966,291142.857142858,3781.0760667903633
SvenskaHandelsbanken,95,44,51,46.31578947368421,350928.57142857084,3693.984962406009
PACCAR,97,42,55,43.29896907216495,351357.1428571429,3622.2385861561124
PNCFinancial,93,36,57,38.70967741935484,330228.57142857194,3550.844854070666
LambWeston,79,35,44,44.303797468354425,280242.85714285716,3547.3779385171792
BostonProperties,107,46,61,42.99065420560748,375942.8571428564,3513.4846461949196
Procter&Gam,89,35,54,39.325842696629216,307528.57142857206,3455.3772070626073
NovoNordisk,98,44,54,44.89795918367347,337542.8571428577,3444.3148688046704
Occidental,96,49,47,51.041666666666664,330314.2857142859,3440.7738095238115
PackagingCorpofAmerica,99,41,58,41.41414141414141,339942.8571428577,3433.766233766239
Teleflex,90,37,53,41.11111111111111,307471.4285714293,3416.349206349214
Marsh&McLennan,86,32,54,37.2093023255814,285642.8571428568,3321.4285714285675
EsteeLauder,93,34,59,36.55913978494624,308757.1428571432,3319.9692780337978
Essity,98,37,61,37.755102040816325,313085.714285715,3194.752186588929
Sobi,89,34,55,38.20224719101123,283971.4285714299,3190.690208667752
Oracle,89,35,54,39.325842696629216,276899.9999999975,3111.235955056152
Microsoft_turbo,88,31,57,35.22727272727273,272714.28571428376,3099.0259740259517
MorganStanl,91,34,57,37.362637362637365,280942.8571428564,3087.2841444269934
Ebay,89,37,52,41.57303370786517,274742.857142857,3086.9983948635618
IllinoisToolWorks,98,39,59,39.795918367346935,302342.8571428599,3085.131195335305
Carmax,82,36,46,43.90243902439025,248671.42857142855,3032.578397212543
GeneralMot,91,37,54,40.65934065934066,271542.8571428573,2983.9874411303
Chubb,99,38,61,38.38383838383838,291771.4285714277,2947.1861471861384
SimonProperty,90,37,53,41.11111111111111,258685.71428571356,2874.285714285706
SteelDynamics,80,30,50,37.5,227814.28571428597,2847.6785714285747
Centene,79,37,42,46.835443037974684,224528.57142857183,2842.1338155515423
Airbus,96,37,59,38.54166666666667,271714.28571428737,2830.35714285716
SwissRe,105,43,62,40.95238095238095,295599.999999999,2815.238095238086
Snowflake,89,32,57,35.95505617977528,250499.999999999,2814.6067415730226
SwissLife,96,36,60,37.5,267671.42857142317,2788.2440476189913
Chesapeake,95,33,62,34.73684210526316,264842.85714285634,2787.819548872172
Skanska,89,35,54,39.325842696629216,246385.71428571583,2768.378812199054
PPG,91,36,55,39.56043956043956,248228.57142857192,2727.7864992150758
Marriott,104,39,65,37.5,281585.7142857166,2707.554945054967
TravelersCompanies,85,34,51,40.0,223071.42857143018,2624.3697478991785
Prysmian,100,39,61,39.0,258968.57142857145,2589.6857142857143
Nvidia,98,35,63,35.714285714285715,249900.000000001,2550.00000000001
AdvanceAutoParts,88,35,53,39.77272727272727,224085.7142857143,2546.4285714285716
