strategy,timeframe,sharpe,return,trades,win_rate,max_dd,p_value,validated,error
Z-Score Mean Reversion,H4,-1.4566280708048904,-24.786026495538,177,32.7683615819209,35.139162375999234,0.11255609469897966,False,
Z-Score Mean Reversion,D1,-4.876162891908445,-10.69105855943859,30,23.333333333333332,13.268178681974932,0.05444047136081795,False,
Bollinger %B,M15,0.0,0.0,0,0.0,0.0,1.0,False,'bb_middle'
Bollinger %B,H1,0.0,0.0,0,0.0,0.0,1.0,False,'bb_middle'
Bollinger %B,H4,0.0,0.0,0,0.0,0.0,1.0,False,'bb_middle'
Bollinger %B,D1,0.0,0.0,0,0.0,0.0,1.0,False,'bb_middle'
GOLD-SILVER Correlation,M15,0.0,0.0,0,0.0,0.0,1.0,False,
GOLD-SILVER Correlation,H1,0.0,0.0,0,0.0,0.0,1.0,False,
GOLD-SILVER Correlation,H4,0.0,0.0,0,0.0,0.0,1.0,False,
GOLD-SILVER Correlation,D1,0.0,0.0,0,0.0,0.0,1.0,False,
Gann Levels,M15,0.4796825901257937,967.4126629566621,5820,51.52920962199312,361.04533611353867,0.010599766354025248,False,
Gann Levels,H1,1.3128331205550494,111.64353260116602,485,46.8041237113402,41.94193657967393,0.0347328564521666,False,
Gann Levels,H4,2.8863434458066837,23.11459835360829,64,42.1875,8.534751966032472,0.0769630922013064,False,
Gann Levels,D1,0.0,0.0,0,0.0,0.0,1.0,False,
HV Ratio,M15,1.346304002919515,249.39612949487412,474,46.20253164556962,84.67361158613934,0.03286931265464189,False,
HV Ratio,H1,3.8034711964733656,78.17767672129993,102,50.98039215686274,28.967276705766672,0.008929064663554268,False,
HV Ratio,H4,6.7171163972106065,17.751220243447353,16,62.5,6.61560200859376,0.06102644294353048,False,
HV Ratio,D1,9.213997776545215,3.8626423797612555,3,66.66666666666666,1.5694502762204683,0.24900270046770195,False,
Hurst Exponent,M15,0.0,0.0,0,0.0,0.0,1.0,False,
Hurst Exponent,H1,0.0,0.0,0,0.0,0.0,1.0,False,
Hurst Exponent,H4,0.0,0.0,0,0.0,0.0,1.0,False,
Hurst Exponent,D1,0.0,0.0,0,0.0,0.0,1.0,False,
M5 Scalp in H1 Trend,M15,0.42662950555956297,69.52116963687953,1346,44.873699851411594,47.03744397380482,0.16224718892997192,False,
M5 Scalp in H1 Trend,H1,0.9302545631398663,33.6924858615409,374,46.79144385026738,27.826491777771007,0.129230327600925,False,
M5 Scalp in H1 Trend,H4,2.972627252014623,23.676951851694866,87,52.87356321839081,7.492407060971982,0.04302296688456669,True,
M5 Scalp in H1 Trend,D1,17.89491574794331,15.722253012848997,13,84.61538461538461,1.1383709430515228,0.0010455547207346887,False,
MTF RSI,M15,-1.817783959556971,-2.4503350372033856,16,31.25,4.724776609795372,0.33186930362625006,False,
MTF RSI,H1,-2.5688226066553477,-1.4138101209826346,5,40.0,3.094723871409169,0.3812120966546203,False,
MTF RSI,H4,0.0,0.0,0,0.0,0.0,1.0,False,
MTF RSI,D1,0.0,0.0,0,0.0,0.0,1.0,False,
RSI Divergence + MACD,M15,0.0,0.0,0,0.0,0.0,1.0,False,'macd_histogram'
RSI Divergence + MACD,H1,0.0,0.0,0,0.0,0.0,1.0,False,'macd_histogram'
RSI Divergence + MACD,H4,0.0,0.0,0,0.0,0.0,1.0,False,'macd_histogram'
RSI Divergence + MACD,D1,0.0,0.0,0,0.0,0.0,1.0,False,'macd_histogram'
Renko Breakout,M15,1.5672619459847357,103.93341121814986,263,51.33079847908745,30.2305606567569,0.055617912522842074,False,
Renko Breakout,H1,0.5969586681843403,7.1381290705928215,65,46.15384615384615,27.433382621865693,0.3822562630661451,False,
Renko Breakout,H4,9.970139343512358,20.942127044576647,12,83.33333333333334,5.950841381793507,0.030687494108452264,False,
Renko Breakout,D1,0.0,0.0,0,0.0,0.0,1.0,False,
Seasonality,M15,0.8388288899845397,110.14786626270987,626,40.894568690095845,102.59350905108234,0.09348718069476152,False,
Seasonality,H1,1.5446304282275538,29.951793997303085,150,44.666666666666664,15.202445572181494,0.11841500085983123,False,
Seasonality,H4,4.775376205099055,17.253730543373077,36,52.77777777777778,4.923457210165652,0.041906770712351216,True,
